Index	Uniprot_ID	Protein_names	Length	Organism_ID	Gene_name	Subcellular_location	GO(CC)	Tissue_specificity	GeneID	PDB	Degree	mean_score_top_10_pred
418	P09601	Heme oxygenase 1 (HO-1) (EC 1.14.14.18)	288	9606	HMOX1	Microsome {ECO:0000269|PubMed:22419571}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:22419571}; Peripheral membrane protein {ECO:0000269|PubMed:22419571}; Cytoplasmic side {ECO:0000269|PubMed:22419571}.	caveola [GO:0005901]; cell [GO:0005623]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extracellular space [GO:0005615]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]	Expressed at higher levels in renal cancer tissue than in normal tissue (at protein level). {ECO:0000269|PubMed:20855888}.	3162;	1N3U;1N45;1NI6;1OYK;1OYL;1OZE;1OZL;1OZR;1OZW;1S13;1S8C;1T5P;1TWN;1TWR;1XJZ;1XK0;1XK1;1XK2;1XK3;3CZY;3HOK;3K4F;3TGM;4WD4;5BTQ;6EHA;	7	0.8219974160194397
419	Q9NV58	E3 ubiquitin-protein ligase RNF19A (EC 2.3.2.31) (Double ring-finger protein) (Dorfin) (RING finger protein 19A) (p38)	838	9606	RNF19A	Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:11237715, ECO:0000269|PubMed:12145308, ECO:0000269|PubMed:12750386, ECO:0000269|PubMed:15456787}. Note=Present in the hyaline inclusion bodies specifically found in motor neurons from amyotrophic lateral sclerosis patients. Present in the Lewy bodies specifically found in neurons from Parkinson disease patients.	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; integral component of membrane [GO:0016021]; postsynapse [GO:0098794]; ubiquitin ligase complex [GO:0000151]	Widely expressed, with highest levels in heart. Ubiquitously expressed in the central nervous system. {ECO:0000269|PubMed:11237715}.	25897;	NA;	4	0.7560288488864899
420	P04275	von Willebrand factor (vWF) [Cleaved into: von Willebrand antigen 2 (von Willebrand antigen II)]	2813	9606	VWF	Secreted {ECO:0000269|PubMed:10961880}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:10961880}. Note=Localized to storage granules.	collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; platelet alpha granule [GO:0031091]; platelet alpha granule lumen [GO:0031093]; Weibel-Palade body [GO:0033093]	Plasma.	7450;	1AO3;1ATZ;1AUQ;1FE8;1FNS;1IJB;1IJK;1M10;1OAK;1SQ0;1U0N;1UEX;2ADF;2MHP;2MHQ;3GXB;3HXO;3HXQ;3PPV;3PPW;3PPX;3PPY;3ZQK;4C29;4C2A;4C2B;4DMU;4NT5;5BV8;6FWN;6N29;	6	0.7260732352733612
421	P02461	Collagen alpha-1(III) chain	1466	9606	COL3A1	Secreted, extracellular space, extracellular matrix {ECO:0000255|PROSITE-ProRule:PRU00793}.	collagen-containing extracellular matrix [GO:0062023]; collagen type III trimer [GO:0005586]; endoplasmic reticulum lumen [GO:0005788]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]		1281;	2V53;3DMW;4AE2;4AEJ;4AK3;4GYX;6FZV;6FZW;	4	0.6650488913059235
422	Q8N6N3	UPF0690 protein C1orf52 (BCL10-associated gene protein)	182	9606	C1orf52		nucleoplasm [GO:0005654]	Expressed in all tissues tested including heart, placenta, liver, skeletal muscle, kidney and pancreas. Weak expression in brain and lung. {ECO:0000269|PubMed:11891061}.	148423;	NA;	2	0.5299694240093231
423	P04278	Sex hormone-binding globulin (SHBG) (Sex steroid-binding protein) (SBP) (Testis-specific androgen-binding protein) (ABP) (Testosterone-estradiol-binding globulin) (TeBG) (Testosterone-estrogen-binding globulin)	402	9606	SHBG	Secreted {ECO:0000250}. Note=In testis, it is synthesized by the Sertoli cells, secreted into the lumen of the seminiferous tubule and transported to the epididymis. {ECO:0000250}.	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]	Isoform 1 and isoform 2 are present in liver and testis.	6462;	1D2S;1F5F;1KDK;1KDM;1LHN;1LHO;1LHU;1LHV;1LHW;6PYA;6PYB;6PYF;	14	0.7554295837879181
424	P41159	Leptin (Obese protein) (Obesity factor)	167	9606	LEP	Secreted {ECO:0000305|PubMed:25232147}.	cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	Adipose tissue is the main source of leptin. It is also produced by other peripheral tissues such as the skeletal muscle (PubMed:7789654, PubMed:16052473, PubMed:12448771). Expressed by intercalated and striated tracts of submandibular and parotid salivary gland intralobular ducts (PubMed:12448771). Detected by fundic epithelium of the gastric mucosa (PubMed:10896907). Secreted into blood and gastric juice (PubMed:10896907). {ECO:0000269|PubMed:10896907, ECO:0000269|PubMed:12448771, ECO:0000269|PubMed:16052473, ECO:0000269|PubMed:7789654}.	3952;	1AX8;	4	0.6386533856391907
425	P28065	Proteasome subunit beta type-9 (EC 3.4.25.1) (Low molecular mass protein 2) (Macropain chain 7) (Multicatalytic endopeptidase complex chain 7) (Proteasome chain 7) (Proteasome subunit beta-1i) (Really interesting new gene 12 protein)	219	9606	PSMB9	Cytoplasm {ECO:0000255|PROSITE-ProRule:PRU00809}. Nucleus {ECO:0000250}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]; proteasome core complex, beta-subunit complex [GO:0019774]; spermatoproteasome complex [GO:1990111]		5698;	6AVO;6E5B;	2	0.7221352398395539
426	P23141	Liver carboxylesterase 1 (Acyl-coenzyme A:cholesterol acyltransferase) (ACAT) (Brain carboxylesterase hBr1) (Carboxylesterase 1) (CE-1) (hCE-1) (EC 3.1.1.1) (Cocaine carboxylesterase) (Egasyn) (HMSE) (Methylumbelliferyl-acetate deacetylase 1) (EC 3.1.1.56) (Monocyte/macrophage serine esterase) (Retinyl ester hydrolase) (REH) (Serine esterase 1) (Triacylglycerol hydrolase) (TGH)	567	9606	CES1	Endoplasmic reticulum lumen {ECO:0000269|PubMed:10562416}.	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular space [GO:0005615]	Expressed predominantly in liver with lower levels in heart and lung. {ECO:0000269|PubMed:10562416}.	1066;	1MX1;1MX5;1MX9;1YA4;1YA8;1YAH;1YAJ;2DQY;2DQZ;2DR0;2H7C;2HRQ;2HRR;3K9B;4AB1;5A7F;5A7G;5A7H;	1	0.5760094165802002
427	Q01959	Sodium-dependent dopamine transporter (DA transporter) (DAT) (Solute carrier family 6 member 3)	620	9606	SLC6A3	Cell membrane {ECO:0000269|PubMed:1406597, ECO:0000269|PubMed:15505207, ECO:0000269|PubMed:8302271}; Multi-pass membrane protein {ECO:0000269|PubMed:15505207}.	axon [GO:0030424]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; dopaminergic synapse [GO:0098691]; flotillin complex [GO:0016600]; integral component of membrane [GO:0016021]; integral component of postsynaptic membrane [GO:0099055]; integral component of presynaptic membrane [GO:0099056]; membrane raft [GO:0045121]; neuronal cell body [GO:0043025]; neuronal cell body membrane [GO:0032809]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734]	Highly expressed in substantia nigra. {ECO:0000269|PubMed:7637582}.	6531;	NA;	5	0.8074617266654969
428	Q14956	Transmembrane glycoprotein NMB (Hematopoietic growth factor inducible neurokinin-1 type)	572	9606	GPNMB	Cell membrane; Single-pass type I membrane protein {ECO:0000269|PubMed:16489096, ECO:0000269|PubMed:16609006}. Melanosome membrane {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065}; Single-pass type I membrane protein {ECO:0000305}. Early endosome membrane {ECO:0000269|PubMed:29336782}; Single-pass type I membrane protein {ECO:0000305}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. {ECO:0000269|PubMed:17081065}.	early endosome membrane [GO:0031901]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; melanosome membrane [GO:0033162]; plasma membrane [GO:0005886]	Widely expressed, but very low expression, if any, in the brain (PubMed:12609765, PubMed:16609006). Expressed in the epidermis with higher levels in melanocytes compared with keratinocytes and Langerhans cells (at protein level) (PubMed:29336782). Expressed in peripheral blood, but not bone marrow mononuclear cells (PubMed:12609765). Expressed in tissue macrophages, including liver Kuppfer cells and lung alveolar macrophages, in podocytes and in some cells of the ciliary body of the eye (at protein level) (PubMed:16489096). May be overexpressed in various cancers, including melanoma and glioblastoma multiforme (PubMed:7814155, PubMed:16489096, PubMed:16609006). {ECO:0000269|PubMed:12609765, ECO:0000269|PubMed:16489096, ECO:0000269|PubMed:16609006, ECO:0000269|PubMed:29336782, ECO:0000269|PubMed:7814155}.	10457;	NA;	1	0.6071670114994049
429	P20674	Cytochrome c oxidase subunit 5A, mitochondrial (Cytochrome c oxidase polypeptide Va)	150	9606	COX5A	Mitochondrion inner membrane {ECO:0000269|PubMed:30030519}; Peripheral membrane protein {ECO:0000269|PubMed:30030519}; Matrix side {ECO:0000269|PubMed:30030519}.	mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex IV [GO:0005751]		9377;	5Z62;	5	0.6071106612682342
430	O14939	Phospholipase D2 (PLD 2) (hPLD2) (EC 3.1.4.4) (Choline phosphatase 2) (PLD1C) (Phosphatidylcholine-hydrolyzing phospholipase D2)	933	9606	PLD2	Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.	endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; presynapse [GO:0098793]	Ubiquitous.	5338;	6OHM;6OHO;6OHP;6OHQ;6OHS;	12	0.7922576665878296
431	P09211	Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)	210	9606	GSTP1	Cytoplasm {ECO:0000269|PubMed:19269317}. Mitochondrion {ECO:0000269|PubMed:19269317}. Nucleus {ECO:0000269|PubMed:19269317}. Note=The 83 N-terminal amino acids function as un uncleaved transit peptide, and arginine residues within it are crucial for mitochondrial localization.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; secretory granule lumen [GO:0034774]; TRAF2-GSTP1 complex [GO:0097057]; vesicle [GO:0031982]		2950;	10GS;11GS;12GS;13GS;14GS;16GS;17GS;18GS;19GS;1AQV;1AQW;1AQX;1EOG;1EOH;1GSS;1KBN;1LBK;1MD3;1MD4;1PGT;1PX6;1PX7;1ZGN;20GS;22GS;2A2R;2A2S;2GSS;2J9H;2PGT;3CSH;3CSI;3CSJ;3DD3;3DGQ;3GSS;3GUS;3HJM;3HJO;3HKR;3IE3;3KM6;3KMN;3KMO;3N9J;3PGT;4GSS;4PGT;5DAK;5DAL;5DCG;5DDL;5DJL;5DJM;5GSS;5J41;5JCW;5L6X;5X79;6AP9;6GSS;6Y1E;7GSS;8GSS;9GSS;	16	0.8907526969909668
432	Q9UQ35	Serine/arginine repetitive matrix protein 2 (300 kDa nuclear matrix antigen) (Serine/arginine-rich splicing factor-related nuclear matrix protein of 300 kDa) (SR-related nuclear matrix protein of 300 kDa) (Ser/Arg-related nuclear matrix protein of 300 kDa) (Splicing coactivator subunit SRm300) (Tax-responsive enhancer element-binding protein 803) (TaxREB803)	2752	9606	SRRM2	Nucleus {ECO:0000269|PubMed:28076346, ECO:0000269|PubMed:28502770, ECO:0000269|PubMed:29301961, ECO:0000269|PubMed:29360106, ECO:0000269|PubMed:29361316, ECO:0000269|PubMed:30705154}. Nucleus speckle {ECO:0000269|PubMed:9531537}.	Cajal body [GO:0015030]; catalytic step 2 spliceosome [GO:0071013]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]	Expressed in liver, placenta, and white blood cells. {ECO:0000269|PubMed:11004489}.	23524;	5MQF;5XJC;5YZG;5Z56;5Z57;6FF4;6FF7;6ICZ;6QDV;	24	0.8769046485424041
433	Q03519	Antigen peptide transporter 2 (APT2) (ATP-binding cassette sub-family B member 3) (Peptide supply factor 2) (Peptide transporter PSF2) (PSF-2) (Peptide transporter TAP2) (Peptide transporter involved in antigen processing 2) (Really interesting new gene 11 protein)	686	9606	TAP2	Endoplasmic reticulum membrane; Multi-pass membrane protein. Note=The transmembrane segments seem to form a pore in the membrane.	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; MHC class I peptide loading complex [GO:0042824]; nuclear speck [GO:0016607]; phagocytic vesicle membrane [GO:0030670]; TAP complex [GO:0042825]		6891;	5U1D;	2	0.5254896879196167
434	O00548	Delta-like protein 1 (Drosophila Delta homolog 1) (Delta1) (H-Delta-1)	723	9606	DLL1	Apical cell membrane {ECO:0000250|UniProtKB:Q61483}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q61483}. Cell junction, adherens junction {ECO:0000250|UniProtKB:Q61483}. Membrane raft {ECO:0000250|UniProtKB:Q61483}. Note=Distributed around adherens junction in the apical endfeet through interactions with MAGI1. {ECO:0000250|UniProtKB:Q61483}.	adherens junction [GO:0005912]; apical plasma membrane [GO:0016324]; cytoplasmic vesicle [GO:0031410]; extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]	Expressed in heart and pancreas, with lower expression in brain and muscle and almost no expression in placenta, lung, liver and kidney.	28514;	4XBM;	4	0.7367379069328308
435	P01042	Kininogen-1 (Alpha-2-thiol proteinase inhibitor) (Fitzgerald factor) (High molecular weight kininogen) (HMWK) (Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kinin (Ile-Ser-Bradykinin); Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor]	644	9606	KNG1	Secreted, extracellular space.	blood microparticle [GO:0072562]; cell [GO:0005623]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; platelet alpha granule lumen [GO:0031093]	Secreted in plasma. T-kinin is detected in malignant ovarian, colon and breast carcinomas, but not in benign tumors. {ECO:0000269|PubMed:2076202}.	3827;	1NY2;2WOK;4ASQ;4ASR;4ECB;4ECC;5I25;6F27;6F3V;6F3W;6F3X;6F3Y;	10	0.7818544149398804
436	O43889	Cyclic AMP-responsive element-binding protein 3 (CREB-3) (cAMP-responsive element-binding protein 3) (Leucine zipper protein) (Luman) (Transcription factor LZIP-alpha) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3 (N-terminal Luman) (Transcriptionally active form)]	371	9606	CREB3	[Isoform 1]: Endoplasmic reticulum membrane {ECO:0000269|PubMed:10623756, ECO:0000269|PubMed:12138176, ECO:0000269|PubMed:18391022}; Single-pass type II membrane protein {ECO:0000255, ECO:0000269|PubMed:12138176}. Golgi apparatus {ECO:0000269|PubMed:10623756}. Note=Colocalizes with HCFC1 in neuronal cell bodies of the trigeminal ganglia (PubMed:10623756). Colocalizes with DCSTAMP in the ER membrane of immature dendritic cell (DC) (PubMed:20546900). Colocalizes with CANX, CCR1, HCFC1 in the ER membrane (PubMed:10623756). {ECO:0000269|PubMed:10623756, ECO:0000269|PubMed:20546900}.; [Isoform 2]: Nucleus {ECO:0000269|PubMed:19779205}. Cytoplasm {ECO:0000269|PubMed:19779205}. Note=Predominantly in the nucleus (PubMed:19779205). Not associated with membranes (PubMed:19779205). {ECO:0000269|PubMed:19779205}.; [Processed cyclic AMP-responsive element-binding protein 3]: Nucleus. Note=Upon RIP activation the transcriptional active processed cyclic AMP-responsive element-binding protein 3 form translocates into the nucleus. Detected in the nucleus upon dendritic cell maturation and RIP activation. Colocalizes with CREBRF in nuclear foci. Colocalizes with CREBZF in promyelocytic leukemia protein nuclear bodies (PML-NB). {ECO:0000269|PubMed:10675342, ECO:0000269|PubMed:15705566, ECO:0000269|PubMed:18391022, ECO:0000269|PubMed:20546900}.; [Isoform 1]: Cytoplasm. Note=(Microbial infection) Sequestered into the cytoplasm by the HCV core protein. {ECO:0000269|PubMed:10675342}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of endoplasmic reticulum membrane [GO:0030176]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; nuclear body [GO:0016604]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	Ubiquitously expressed (PubMed:9271389, PubMed:19779205). Expressed in dendritic cells (DC). Weakly expressed in monocytes (at protein level) (PubMed:20546900). {ECO:0000269|PubMed:19779205, ECO:0000269|PubMed:20546900, ECO:0000269|PubMed:9271389}.	10488;	NA;	25	0.9054038166999817
437	P50222	Homeobox protein MOX-2 (Growth arrest-specific homeobox) (Mesenchyme homeobox 2)	304	9606	MEOX2	Nucleus {ECO:0000269|PubMed:19266028, ECO:0000269|PubMed:22206000}. Nucleus speckle {ECO:0000255|PROSITE-ProRule:PRU00108, ECO:0000269|PubMed:19266028}.	cytoplasm [GO:0005737]; nuclear chromatin [GO:0000790]; nuclear speck [GO:0016607]; nucleus [GO:0005634]	Embryo and placenta.	4223;	NA;	17	0.8385091543197631
438	P25445	Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95)	335	9606	FAS	[Isoform 1]: Cell membrane {ECO:0000269|PubMed:1713127}; Single-pass type I membrane protein {ECO:0000305}.; [Isoform 2]: Secreted.; [Isoform 3]: Secreted.; [Isoform 4]: Secreted.; [Isoform 5]: Secreted.; [Isoform 6]: Secreted.	CD95 death-inducing signaling complex [GO:0031265]; cell surface [GO:0009986]; cytosol [GO:0005829]; death-inducing signaling complex [GO:0031264]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; nuclear body [GO:0016604]; plasma membrane [GO:0005886]	Isoform 1 and isoform 6 are expressed at equal levels in resting peripheral blood mononuclear cells. After activation there is an increase in isoform 1 and decrease in the levels of isoform 6. {ECO:0000269|PubMed:7575433}.	355;	1BZI;1DDF;2NA7;3EWT;3EZQ;3THM;3TJE;	17	0.8739229559898376
439	Q13451	Peptidyl-prolyl cis-trans isomerase FKBP5 (PPIase FKBP5) (EC 5.2.1.8) (51 kDa FK506-binding protein) (51 kDa FKBP) (FKBP-51) (54 kDa progesterone receptor-associated immunophilin) (Androgen-regulated protein 6) (FF1 antigen) (FK506-binding protein 5) (FKBP-5) (FKBP54) (p54) (HSP90-binding immunophilin) (Rotamase)	457	9606	FKBP5	Cytoplasm {ECO:0000250|UniProtKB:Q64378}. Nucleus {ECO:0000250|UniProtKB:Q64378}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]	Widely expressed, enriched in testis compared to other tissues.	2289;	1KT0;3O5D;3O5E;3O5F;3O5G;3O5I;3O5J;3O5K;3O5L;3O5M;3O5O;3O5P;3O5Q;3O5R;4DRH;4DRI;4DRK;4DRM;4DRN;4DRO;4DRP;4DRQ;4JFI;4JFJ;4JFK;4JFL;4JFM;4R0X;4TW6;4TW7;4TX0;4W9O;4W9P;4W9Q;5BXJ;5DIT;5DIU;5DIV;5NJX;5OBK;5OMP;6SAF;	19	0.8947980523109436
440	O00429	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	736	9606	DNM1L	Cytoplasm, cytosol. Golgi apparatus. Endomembrane system; Peripheral membrane protein. Mitochondrion outer membrane {ECO:0000269|PubMed:26122121, ECO:0000269|PubMed:27145208, ECO:0000269|PubMed:28969390}; Peripheral membrane protein. Peroxisome. Membrane, clathrin-coated pit {ECO:0000250}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250|UniProtKB:O35303}. Note=Mainly cytosolic. Translocated to the mitochondrial membrane through O-GlcNAcylation and interaction with FIS1. Colocalized with MARCHF5 at mitochondrial membrane. Localizes to mitochondria at sites of division. Localizes to mitochondria following necrosis induction. Recruited to the mitochondrial outer membrane by interaction with MIEF1. Mitochondrial recruitment is inhbited by C11orf65/MFI (By similarity). Associated with peroxisomal membranes, partly recruited there by PEX11B. May also be associated with endoplasmic reticulum tubules and cytoplasmic vesicles and found to be perinuclear. In some cell types, localizes to the Golgi complex (By similarity). Binds to phospholipid membranes (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:Q8K1M6}.	brush border [GO:0005903]; cell junction [GO:0030054]; clathrin-coated pit [GO:0005905]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule [GO:0005874]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; perinuclear region of cytoplasm [GO:0048471]; peroxisome [GO:0005777]; presynaptic endocytic zone membrane [GO:0098835]; protein-containing complex [GO:0032991]; synaptic vesicle membrane [GO:0030672]	Ubiquitously expressed with highest levels found in skeletal muscles, heart, kidney and brain. Isoform 1 is brain-specific. Isoform 2 and isoform 3 are predominantly expressed in testis and skeletal muscles respectively. Isoform 4 is weakly expressed in brain, heart and kidney. Isoform 5 is dominantly expressed in liver, heart and kidney. Isoform 6 is expressed in neurons. {ECO:0000269|PubMed:10749171, ECO:0000269|PubMed:9422767, ECO:0000269|PubMed:9570752, ECO:0000269|PubMed:9731200, ECO:0000269|PubMed:9786947}.	10059;	3W6N;3W6O;3W6P;4BEJ;4H1U;4H1V;5WP9;	30	0.9110960364341736
441	P06396	Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin)	782	9606	GSN	[Isoform 2]: Cytoplasm, cytoskeleton.; [Isoform 1]: Secreted.	actin cap [GO:0030478]; actin cytoskeleton [GO:0015629]; blood microparticle [GO:0072562]; cell [GO:0005623]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; myelin sheath [GO:0043209]; perinuclear region of cytoplasm [GO:0048471]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; podosome [GO:0002102]; protein-containing complex [GO:0032991]; ruffle [GO:0001726]; sarcoplasm [GO:0016528]; secretory granule lumen [GO:0034774]	Phagocytic cells, platelets, fibroblasts, nonmuscle cells, smooth and skeletal muscle cells.	2934;	1C0F;1C0G;1D4X;1DEJ;1EQY;1ESV;1H1V;1KCQ;1MDU;1NLV;1NM1;1NMD;1P8X;1P8Z;1SOL;1T44;1YAG;1YVN;2FF3;2FF6;2FH1;2FH2;2FH3;2FH4;3A5L;3A5M;3A5N;3A5O;3CI5;3CIP;3CJB;3CJC;3FFK;3FFN;3TU5;4PKG;4PKH;4PKI;4S10;4Z94;5DD2;5FAE;5FAF;5H3M;5H3N;5O2Z;5UBO;5ZZ0;6H1F;6JCO;6JEG;6JEH;6LJE;6LJF;6Q9R;6Q9Z;6QBF;6QW3;	19	0.8786018431186676
442	P23219	Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (COX-1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1) (Prostaglandin-endoperoxide synthase 1)	599	9606	PTGS1	Microsome membrane; Peripheral membrane protein. Endoplasmic reticulum membrane; Peripheral membrane protein.	cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; photoreceptor outer segment [GO:0001750]		5742;	6Y3C;	1	0.6031422436237335
443	Q9UQ90	Paraplegin (EC 3.4.24.-) (Cell matrix adhesion regulator) (Spastic paraplegia 7 protein)	795	9606	SPG7	Mitochondrion inner membrane {ECO:0000269|PubMed:9635427}; Multi-pass membrane protein {ECO:0000255}.	axon cytoplasm [GO:1904115]; m-AAA complex [GO:0005745]; mitochondrial inner membrane [GO:0005743]; mitochondrial permeability transition pore complex [GO:0005757]; mitochondrion [GO:0005739]	Ubiquitous.	6687;	2QZ4;	2	0.5012890040874481
